id,RBC,hcRBC,lysRBC
AC53_Dport_m_dd0523,1873,40,11
AC55_Dport_f_dd0523,1350,157,7
AC56_Darm_f_dd0523,1473,23,21
AC57_Darm_f_dd0523,865,116,40
AC58_Darm_f_dd0523,1179,75,40
AC59_Darm_f_ddmmyy,1750,51,18
AC5_sp_sex_ddmmyy,1600,148,7
AC60_Darm_f_dd0523,2998,206,42
AC61_Darm_f_dd0623,1494,39,20
AC62_Darm_f_ddmmyy,2188,86,18
AC63_Darm_f_ddmmyy,2030,321,46
AC64_Darm_f_dd0523,1690,67,6
AC65_Darm_f_dd0623,4216,133,48
AC66_Darm_f_dd0623,2877,214,47
AC67_Darm_f_dd0623,2055,141,4
AC6_sp_sex_ddmmyy,1287,178,15
AC70_Dport_f_ddmmyy,2592,246,27
AC71_Darm_f_ddmmyy,1794,216,44
AC72_Dport_m_ddmmyy,4385,114,18
AC73_Dport_m_ddmmyy,3541,166,23
AC74_Dport_f_dd0523,709,43,45
AC75_Dport_f_ddmmyy,1463,3,63
AC76_Dport_f_ddmmyy,1114,23,3
AC79_Dport_f_ddmmyy,3002,115,2
AC7_sp_sex_ddmmyy,550,186,11
AC82_Dport_m_ddmmyy,2239,3,5
AC84_Dport_f_ddmmyy,1308,20,4
AC85_Dport_m_ddmmyy,1820,14,13
AC86_Dport_m_ddmmyy,1442,23,40
AC87_Dport_m_ddmmyy,2093,27,28
AC88_Dport_m_ddmmyy,340,80,111
AC89_Dport_f_ddmmyy,1550,40,15
AC8_sp_sex_ddmmyy,1644,100,21
AC91_Darm_f_ddmmyy,1510,31,32
AC92_Darm_f_ddmmyy,609,13,181
AC93_Darm_f_ddmmyy,2711,70,38
AC94_Darm_f_ddmmyy,1421,17,85
AC95_Darm_f_ddmmyy,1020,34,59
AC97_Darm_f_ddmmyy,1686,9,9
AC98_Ddah_f_ddmmyy,1207,92,9
AC99_Ddah_f_ddmmyy,693,77,33
ACN1341_Dport_f_dd0523,1258,57,51
ACN1342_Dport_f_dd0523,3362,161,11
ACN1343_Dport_f_dd0523,2425,61,3
ACN1354_Dport_f_dd0523,1736,62,18
ACN2344_Dport_m_ddmmyy,2341,54,10
ACN3002_Dport_f_ddmmyy,1350,60,37
ACN5013_Dport_m_ddmmyy,1989,80,18
ACN5014_Ddah_f_ddmmyy,1195,94,6
ACN5015_Ddah_f_ddmmyy,1415,43,17
ACN5021_Ddah_f_ddmmyy,1098,19,12
ACN5022_Ddah_f_ddmmyy,3975,83,27
ACN5023_Ddah_f_ddmmyy,692,33,31
ACN5024_Ddah_f_ddmmyy,656,136,14
ACN5520_Ddah_f_ddmmyy,231,5,4
AH2_Dval_f_260522,1281,39,32
ASH1000_Dval_f_dd0623,1786,280,16
ASH1005_Dval_m_080722,5371,141,35
ASH1005_Dval_m_dd0623,569,106,15
ASH100_Dval_m_100722,3047,40,6
ASH1011_Dval_m_070722,1561,32,6
ASH1020_Dval_m_240523,3182,40,37
ASH103_Darm_f_dd0623,2136,9,14
ASH104_Darm_f_260522,2699,22,1
ASH10_Dval_m_090722,2931,40,5
ASH10_Dval_m_240523,3870,120,2
ASH113_Darm_f_260522,1202,32,41
ASH115_Darm_f_260522,3823,190,0
ASH125_Dval_m_240523,3128,134,18
ASH125_Dval_m_dd0623,2605,45,14
ASH131+410_Dval_m_250523,5232,158,2
ASH1311_Darm_f_240523,1240,9,2
ASH131_Dval_m_100722,2005,2,3
ASH133_Dval_m_070722,2678,37,12
ASH135_Darm_f_070722,3406,17,0
ASH135_Darm_f_270522,26,10,4
ASH13_Dval_m_070722,2502,25,12
ASH142_Dval_f_270522,3200,37,22
ASH143_Dval_m_070722,2593,4,1
ASH143_Dval_m_240523,3546,303,34
ASH145_Darm_f_270522,2844,333,164
ASH14_Dval_m_090722,2339,36,1
ASH14_Dval_m_260522,2364,278,26
ASH14_Dval_m_dd0623,3435,140,25
ASH1501_Dval_f_240523,2273,79,13
ASH1501_Dval_m_240523,2280,219,9
ASH150_Dval_m_270522,2656,148,26
ASH151_Dval_m_270523,621,388,97
ASH152_Dval_m_070722,2308,36,22
ASH152_Dval_m_270522,1718,342,79
ASH153_Darm_f_270522,1369,133,75
ASH154_Darm_f_270522,1240,179,67
ASH15_Darm_f_260722,2862,102,16
ASH15_Dval_sex_060722,3543,133,3
ASH1_Dval_f_260522,1409,54,10
ASH200.1_Darm_f_240523,5186,23,2
ASH2000_Darm_f_240523,786,19,4
ASH2000_Dval_f_dd0623,2867,141,2
ASH2000_Dval_m_240523,1881,107,3
ASH200_Darm_f_240523,3036,18,22
ASH201_Darm_f_270522,1402,198,16
ASH20_Dval_m_070722,2287,23,22
ASH210_Darm_f_070722,2090,118,10
ASH210_Darm_f_270522,2094,22,9
ASH211_Darm_f_250523,1804,143,44
ASH211_Darm_f_dd0623,1445,50,2
ASH212_Darm_f_270522,2137,82,26
ASH213_Darm_f_270522,296,133,84
ASH214_Dval_f_090722,2869,61,13
ASH21_Dval_m_dd0623,2434,26,26
ASH231_Dval_m_080722,3176,192,21
ASH23_Darm_f_260522,1774,17,8
ASH2400_Darm_f_250523,2163,106,15
ASH240_Darm_f_dd0623,1166,99,20
ASH241_Darm_f_090722,2713,40,12
ASH241_Darm_f_270522,2536,116,9
ASH241_Darm_f_dd0623,3326,160,29
ASH252_Dval_f_dd0623,1174,200,29
ASH253_Darm_f_280522,881,538,88
ASH254_Darm_f_dd0623,1672,108,14
ASH255_Darm_f_dd0623,2639,47,23
ASH25_Dval_m_150722,5805,37,2
ASH300_Darm_f_280522,1034,554,65
ASH302_Dval_m_280522,1675,588,128
ASH304_Darm_f_070722,2207,45,3
ASH304_Dval_f_280522,979,343,88
ASH311_Darm_f_dd0623,2241,103,25
ASH312_Darm_f_dd0623,1414,32,55
ASH320_Dval_f_280522,1355,56,38
ASH321_Dval_f_dd0623,1726,154,18
ASH322_Dval_f_280522,2044,87,30
ASH322_Dval_f_dd0623,4125,40,24
ASH323_Dval_f_dd0623,2407,6,21
ASH324_Dval_m_070722,1798,43,5
ASH324_Dval_m_280522,2304,814,126
ASH325_Dval_f_dd0623,1204,81,16
ASH325_Dval_m_080722,1016,310,28
ASH330_Dval_m_080722,2149,25,18
ASH330_Dval_m_dd0623,950,89,12
ASH331_Dval_m_080722,3369,105,41
ASH331_Dval_m_dd0623,4000,40,30
ASH332_Dval_f_280522,1910,129,33
ASH340_Dval_m_280522,2060,568,110
ASH341_Dval_m_250523,4849,79,108
ASH342_Dval_m_240523,1675,93,13
ASH353_Darm_f_240523,4692,22,7
ASH355_Darm_f_dd0623,1762,90,43
ASH400_Darm_f_280522,2666,69,28
ASH400_Darm_f_dd0623,588,167,9
ASH40_Darm_f_dd0623,3087,182,40
ASH410_Darm_f_090722,3165,18,3
ASH412_Darm_f_240523,2840,31,13
ASH414_Darm_f_240523,2272,71,25
ASH414_Darm_f_dd0623,1851,23,17
ASH41_Dval_f_260522,3241,110,21
ASH424_Darm_f_dd0623,1373,91,18
ASH424_Darm_f_ddmmyy,874,95,33
ASH432_Dval_f_dd0623,2542,182,14
ASH433_Dval_f_dd0623,2034,344,10
ASH440_Dval_m_250523,1637,73,26
ASH441_Dval_m_080722,2367,299,96
ASH44_Darm_f_260522,1976,174,12
ASH45+50_Dval_m_250523,3182,152,9
ASH45+50_Dval_m_dd0623,3094,149,29
ASH450_Darm_f_dd0623,2306,63,54
ASH452_Darm_f_250523,1135,49,25
ASH452_Darm_f_dd0623,2446,1,6
ASH45_Dval_f_260522,1494,389,112
ASH4_Dval_f_080722,4014,156,44
ASH502_Dval_m_dd0623,1798,124,4
ASH504_Darm_f_090722,3420,58,2
ASH510_Darm_f_240523,2373,70,27
ASH51_Dval_f_240523,2204,50,156
ASH51_Dval_f_dd0623,2848,186,37
ASH51_Dval_f_ddmmyy,2513,56,54
ASH523_Dval_m_070722,2316,29,1
ASH525_Darm_f_080722,2694,133,73
ASH531_Dval_m_150722,3890,55,0
ASH531_Dval_m_240523,2121,325,7
ASH532_Dval_m_080722,3365,608,54
ASH534_Dval_m_070722,3128,24,3
ASH534_Dval_m_240523,2612,95,33
ASH534_Dval_m_dd0623,1993,87,23
ASH535_Dval_m_250523,4312,145,3
ASH540_Darm_f_240523,2597,41,3
ASH543+2400_Dval_m_dd0623,1984,326,46
ASH545_Dval_m_dd0623,2232,177,17
ASH5503+1200_Dval_m_080722,2867,172,14
ASH550_Dval_m_dd0623,1901,109,6
ASH551_Darm_f_dd0623,2994,25,54
ASH552_Darm_f_dd0623,1725,4,1
ASH554_Dval_m_250523,3889,177,25
ASH555_Dval_m_070722,3657,19,2
ASH555_Dval_m_dd0623,988,118,10
GG11_Dport_m_ddmmyy,1875,223,11
GG12_Dport_m_ddmmyy,2875,225,13
GG13_Dport_m_ddmmyy,3316,272,10
GG14_Dport_m_ddmmyy,2614,44,19
GG15_Dport_m_ddmmyy,1224,300,16
GG16_Dport_m_ddmmyy,3672,117,14
GG17_Dport_m_ddmmyy,2230,75,11
GG18_Dport_m_ddmmyy,1327,73,100
GG19_Dport_m_ddmmyy,2162,32,15
GG1_Ddah_f_ddmmyy,2636,38,22
GG20_Dport_m_ddmmyy,2728,55,6
GG21_Dport_m_ddmmyy,2946,22,16
GG22_sp_sex_ddmmyy,3341,182,75
GG23_Dport_m_ddmmyy,2890,81,7
GG27_Dport_f_300523,3201,26,3
GG28_Dport_f_300523,3186,96,30
GG29_Dport_f_300523,2053,94,26
GG2_Ddah_f_ddmmyy,1772,212,60
GG30_Dport_f_ddmmyy,3286,52,15
GG31_Dport_f_ddmmyy,3865,121,21
GG32_Dport_f_ddmmyy,1205,54,8
GG33_Dport_m_ddmmyy,738,405,23
GG6_Dport_m_ddmmyy,2077,25,18
GG7_Ddah_f_ddmmyy,938,82,56
GG8_Dport_m_ddmmyy,2232,113,22
GG9_Dport_m_ddmmyy,3038,48,7
GGR1345_Dport_m_ddmmyy,2005,426,20
GGR1355_Ddah_f_ddmmyy,2777,51,2
GGR3001_Dport_m_ddmmyy,1803,91,18
GGR3002_Dport_f_ddmmyy,2061,177,41
GGR5013_Dport_m_ddmmyy,2803,53,44
GGR5024_Ddah_f_ddmmyy,734,166,5
HR100_Dnair_m_ddmmyy,3344,793,8
HR101_Dnair_m_ddmmyy,3219,472,9
HR102_Dnair_m_ddmmyy,2186,190,21
HR103_Dnair_m_ddmmyy,2422,329,8
HR104_Dnair_m_ddmmyy,2699,298,25
HR107_Dnair_m_ddmmyy,3449,238,18
HR108_Dnair_m_ddmmyy,3164,220,41
HR109_Dnair_m_ddmmyy,2029,390,25
HR10_sp_sex_ddmmyy,1538,51,23
HR110_Dnair_m_ddmmyy,3995,300,24
HR112_Dnair_m_ddmmyy,4163,183,40
HR113_Dnair_m_080923,3663,210,6
HR114_Dnair_m_080923,4109,73,9
HR115_Dnair_m_080923,3623,218,14
HR116_Dnair_f_080923,1209,49,2
HR117_Duni_f_080923,3217,522,29
HR118_Duni_f_080923,2984,546,5
HR119_Dnair_f_00923,1641,376,31
HR11_sp_sex_ddmmyy,2227,7,2
HR120_Duni_f_080923,1349,177,3
HR121_Duni_f_080923,1315,369,19
HR122_Dnair_f_080923,2342,751,16
HR123_Darm_f_080923,1127,17,2
HR124_Darm_f_080923,5218,125,12
HR125_Darm_f_080923,2149,188,51
HR126_Darm_f_080923,4020,644,7
HR127_Darm_f_080923,1705,339,13
HR128_Darm_f_080923,3421,217,9
HR129_Darm_f_080923,1910,453,7
HR12_sp_sex_ddmmyy,1718,64,41
HR130_Darm_f_080923,1855,113,7
HR131_Darm_f_080923,633,150,17
HR132_Darm_f_080923,3453,369,17
HR134_Darm_f_080923,851,186,35
HR135_Darm_f_080923,3202,400,30
HR136_Darm_f_080923,2892,295,49
HR137_Darm_f_080923,3554,293,1
HR138_Darm_f_080923,3085,127,14
HR139_Darm_f_080923,2373,365,15
HR13_sp_sex_ddmmyy,2153,13,5
HR140_Darm_f_080923,4185,1100,22
HR141_Duni_f_100923,3516,255,10
HR142_Duni_f_100923,1387,398,22
HR143_Duni_f_100923,2738,290,6
HR144_Duni_f_100923,3552,427,116
HR145_Duni_f_100923,2204,319,4
HR146_Duni_f_100923,1518,362,17
HR147_Dnair_m_100923,3371,159,6
HR148_Dnair_m_100923,3226,125,35
HR149_Dnair_m_100923,1949,286,25
HR14_sp_sex_ddmmyy,3382,102,5
HR150_Dnair_m_100923,1433,159,5
HR151_Dnair_m_100923,263,109,6
HR152_Dnair_m_100923,423,512,6
HR154_Dnair_f_dd0923,55,1,4
HR155_Dnair_m_100923,794,449,13
HR156_Dnair_m_100923,2549,816,6
HR157_Dnair_m_100923,1843,268,6
HR158_Dnair_m_100923,755,742,10
HR159_Dnair_m_100923,3178,448,10
HR15_sp_sex_ddmmyy,4038,167,22
HR160_Dnair_m_100923,2433,647,10
HR161_Dnair_f_100923,4717,218,12
HR162_Dnair_f_100923,631,83,7
HR163_Dnair_m_100923,1719,808,15
HR164_Dnair_f_100923,4259,809,10
HR165_Dnair_f_100923,2058,110,3
HR166_Dnair_f_100923,2911,356,20
HR167_Dnair_f_100923,1492,132,5
HR168_Dnair_f_100923,1823,374,26
HR169_Dnair_f_100923,1016,55,0
HR16_sp_sex_ddmmyy,3845,158,5
HR170_Dnair_f_100923,2738,390,14
HR171_Duni_f_110923,1369,308,12
HR172_Duni_f_110923,1369,400,8
HR173_Duni_f_110923,1537,207,8
HR174_Duni_f_110923,2021,419,10
HR175_Duni_f_110923,530,98,5
HR176_Dnair_f_110923,715,139,2
HR177_Dnair_m_110923,3069,319,73
HR178_Dnair_m_110923,5019,116,16
HR179_Dnair_f_110923,1853,225,4
HR17_sp_sex_ddmmyy,3216,153,31
HR180_Dnair_f_110923,1884,409,12
HR181_Dnair_f_110923,2907,695,9
HR182_Dnair_f_110923,1134,360,4
HR183_Dnair_f_110923,2157,320,8
HR184_Dnair_f_110923,5510,641,58
HR185_Dnair_f_110923,3440,315,9
HR18_sp_sex_ddmmyy,2790,144,4
HR19_sp_sex_ddmmyy,1555,27,7
HR20_sp_sex_ddmmyy,3233,45,7
HR21_sp_sex_ddmmyy,2482,147,12
HR22_sp_sex_ddmmyy,3009,42,23
HR23_sp_sex_ddmmyy,2299,7,1
HR25_sp_sex_ddmmyy,3878,269,24
HR26_sp_sex_ddmmyy,2058,28,20
HR27_sp_sex_ddmmyy,3000,62,9
HR28_sp_sex_ddmmyy,3734,328,26
HR29_sp_sex_ddmmyy,2146,47,20
HR2_sp_sex_ddmmyy,1759,48,15
HR30_sp_sex_ddmmyy,3269,67,18
HR3_sp_sex_ddmmyy,2225,22,60
HR49_Darm_f_ddmmyy,5253,29,11
HR4_sp_sex_ddmmyy,1099,38,17
HR50_Darm_f_ddmmyy,2936,60,9
HR52_Darm_f_ddmmyy,3217,115,7
HR53_Darm_f_ddmmyy,1983,49,7
HR54_Darm_f_ddmmyy,2921,46,8
HR55_Darm_f_ddmmyy,3892,138,57
HR56_Darm_f_ddmmyy,3727,198,51
HR57_Darm_f_ddmmyy,3469,47,10
HR59_Darm_f_ddmmyy,3834,21,24
HR5_sp_sex_ddmmyy,2583,46,49
HR61_Darm_f_ddmmyy,3214,34,16
HR62_Darm_f_ddmmyy,2306,28,7
HR63_Darm_f_ddmmyy,2215,39,50
HR64_Darm_f_ddmmyy,1664,20,22
HR65_Darm_f_ddmmyy,4730,238,93
HR66_Darm_f_ddmmyy,2004,148,33
HR67_Darm_f_ddmmyy,2234,77,4
HR68_Darm_f_ddmmyy,3493,238,8
HR69_Duni_f_ddmmyy,3342,63,17
HR6_sp_sex_ddmmyy,2031,97,10
HR70_Duni_f_ddmmyy,4038,207,12
HR71_Duni_f_ddmmyy,2233,93,4
HR72_Duni_f_ddmmyy,1606,115,26
HR73_Duni_f_ddmmyy,3357,300,27
HR74_Duni_f_ddmmyy,2194,164,14
HR75_Duni_f_ddmmyy,1304,57,17
HR76_Duni_f_ddmmyy,2712,74,20
HR77_Duni_f_ddmmyy,1012,47,25
HR78_Duni_f_ddmmyy,1944,51,16
HR79_Duni_f_ddmmyy,2583,150,26
HR7_sp_sex_ddmmyy,1090,32,20
HR80_Duni_f_ddmmyy,1491,166,18
HR81_Duni_f_ddmmyy,4566,874,16
HR82_Duni_f_ddmmyy,3996,211,9
HR83_Duni_f_ddmmyy,3550,297,21
HR84_Duni_f_ddmmyy,2160,126,17
HR85_Duni_f_ddmmyy,3835,258,28
HR86_Duni_f_ddmmyy,4050,750,44
HR87_Duni_f_ddmmyy,1993,195,19
HR88_Duni_f_ddmmyy,3857,223,3
HR89_Duni_f_ddmmyy,1770,191,7
HR90_Dnair_f_ddmmyy,1208,26,7
HR92_Dnair_f_ddmmyy,2333,185,11
HR93_Dnair_f_ddmmyy,2867,239,24
HR94_Dnair_f_ddmmyy,3412,443,25
HR95_Dnair_f_ddmmyy,3163,94,9
HR96_Dnair_f_ddmmyy,2604,240,10
HR97_Dnair_f_ddmmyy,3616,625,27
HR98_Dnair_f_ddmmyy,1901,74,5
HR9_sp_sex_ddmmyy,1946,21,9
SH1.22_Dval_f_110722,2122,82,13
SH10.22_Dval_f_110722,1689,89,29
SH10_Dval_m_ddmmyy,1547,416,7
SH11.22_Dval_f_110722,2610,441,17
SH11_Dval_m_ddmmyy,1770,152,6
SH12.22_Dval_f_110722,2986,97,13
SH12_Dval_m_ddmmyy,1717,156,11
SH13.22_Dval_m_110722,2563,91,11
SH13_Dval_m_ddmmyy,2196,467,26
SH14.22_Dval_f_110722,2546,175,2
SH14_Dval_m_ddmmyy,846,97,55
SH15.22_Dval_f_110722,2894,165,4
SH15_Dval_m_ddmmyy,1934,266,8
SH16.22_Dval_f_110722,3677,282,21
SH16_Dval_f_ddmmyy,1668,77,37
SH17.22_Dval_f_110722,2587,135,6
SH17_Dval_f_ddmmyy,943,43,99
SH18.22_Dval_f_110722,1977,171,4
SH18_Dval_f_ddmmyy,890,160,33
SH19.22_Dval_m_110722,1993,160,8
SH19_Dval_f_ddmmyy,2404,106,29
SH1_Dval_m_ddmmyy,2158,1129,45
SH2.22_Dval_m_110722,3107,29,3
SH20.22_Dval_m_110722,1364,495,17
SH20_Dval_f_ddmmyy,2124,497,7
SH21.22_Dval_f_110722,3447,109,1
SH21_Dval_f_ddmmyy,3107,249,95
SH22.22_Dval_m_110722,2013,59,3
SH22_Dval_f_ddmmyy,1135,26,48
SH23.22_Dval_f_110722,2036,27,3
SH23_Dval_f_ddmmyy,2650,39,21
SH24.22_Dval_f_110722,1389,136,3
SH24_Dval_f_ddmmyy,1581,29,14
SH25_Dval_f_ddmmyy,1348,35,56
SH26_Dval_f_ddmmyy,1096,42,9
SH27.22_Dval_m_120722,3988,16,5
SH27_Dval_f_ddmmyy,2355,170,13
SH28.22_Dval_m_120722,3127,74,0
SH28_Dval_f_ddmmyy,1199,113,56
SH29.22_Dval_f_120722,2179,61,5
SH29_Dval_f_ddmmyy,1600,27,9
SH2_Dval_m_ddmmyy,5140,207,33
SH3.22_Dval_f_110722,2393,12,4
SH30.22_Dval_f_120722,4838,29,6
SH30_Dval_f_ddmmyy,2539,61,4
SH31.22_Dval_m_120722,2053,80,11
SH31_Dval_f_ddmmyy,1121,51,24
SH32.22_Dval_f_120722,4316,93,1
SH32_Dval_f_ddmmyy,1911,36,22
SH33.22_Dval_f_120722,2555,86,13
SH34.22_Dval_m_120722,1824,145,26
SH35.22_Dval_f_120722,4050,41,2
SH36.22_Dval_m_120722,1881,224,27
SH37.22_Dval_f_120722,4570,43,14
SH38.22_Dval_m_120722,3920,249,20
SH3_Dval_m_ddmmyy,1741,27,94
SH4.22_Dval_f_110722,2984,2,0
SH4_Dval_m_ddmmyy,2636,378,55
SH5.22_Dval_m_110722,3954,32,1
SH5_Dval_m_ddmmyy,1252,277,92
SH6.22_Dval_f_110722,3593,86,8
SH7.22_Dval_m_110722,4074,521,17
SH7_Dval_m_ddmmyy,859,333,48
SH8.22_Dval_m_110722,3036,152,17
SH8_Dval_m_ddmmyy,524,167,3
SH9.22_Dval_f_110722,3036,115,9
SH9_Dval_m_ddmmyy,1719,49,6
SHM.svl61.lc107m426_Dval_f_230523,2932,111,9
SHM.svl61.lc111.m570_Dval_m_230523,3043,204,17
SHM.svl61.lc117r.m488_Dval_m_230523,2739,120,50
SHM.svl62.lc100r.m405_Dval_f_230523,2627,28,48
SHM.svl62.lc123.m475_Dval_m_230523,3176,58,1
SHM.svl62.lc66r.m420_Dval_m_230523,2259,227,24
SHM.svl64.lc120.m620_Dval_m_230523,2009,10,22
SHM.svl65.lc22r.m410_Dval_f_230523,3778,19,4
SHM.svl65.lc69r.m475_Dval_f_230523,2196,64,5
SHM.svl66.lc97r.m579_Dval_m_230523,1948,5,7
SHM.svl67.lc100r.m633_Dval_m_230523,2356,215,11
SHM.svl67.lc102r.m540_Dval_m_230523,3975,269,62
SHM.svl67.lc70r.m487_Dval_m_230523,2711,168,4
SHM.svl70l.c59r.m560_Dval_f_230523,4113,51,7
SHM.svl71.lc100r.m575_Dval_f_230523,2942,9,39
SHM.svl72.lc73r.m624_Dval_f_230523,2540,29,26
SHM.svl73.lc12r.m611_Dval_f_230523,4320,70,6
SHM.svl74.lc121r.m685_Dval_f_230523,1885,11,20
SHM.svl74.lc99r.m673_Dval_f_230523,1810,22,6
SR01_Dval_f_080722,1288,57,25
SR02_Darm_f_060722,2231,1,1
SR03_Dval_f_080722,2149,416,42
SR11_Darm_f_180923,516,26,28
SR12_Darm_f_180923,1595,59,3
SR13_Darm_f_180923,1713,24,8
SR14_Darm_f_180923,1162,79,10
SR15_Darm_f_180923,1624,50,0
SR16_Darm_f_180923,1335,7,2
SR17_Dval_f_180923,1999,111,1
SR18_Darm_f_180923,1011,7,0
SR19_Darm_f_180923,1893,50,9
SR1_Dval_f_ddmmyy,610,62,5
SR20_Darm_f_180923,1748,68,4
SR21_Dval_f_190923,1964,196,38
SR22_Dval_f_190923,1820,62,5
SR23_Darm_f_190923,1408,26,5
SR24_Darm_f_190923,2259,42,1
SR2_Dval_f_ddmmyy,1399,205,35
SR3_Dval_f_ddmmyy,1466,54,5
SR4_Dval_f_ddmmyy,2724,52,4
SR5_Dval_f_ddmmyy,1420,168,11
SR6_Dval_f_ddmmyy,3091,0,1
SR7_Dval_m_180923,1236,187,4
SR8_Dval_m_180923,2166,17,5
SR9_Darm_f_180923,1344,35,18
SRM66_Dval_f_240523,153,3,19
SRM67_Dval_m_240523,3009,59,2
SRM68_Dval_m_240523,3724,142,30
SRM69_Dval_f_240523,2232,62,1
SRM70_Dval_m_240523,506,211,3
SRM71_Dval_f_240523,822,16,0
SRM72_Dval_f_250523,1980,84,74
SRM73_Dval_f_250523,1360,8,33
SRM74_Dval_f_250523,2555,3,40
SRM75_Dval_f_250523,4136,185,54
SRM76_Dval_f_250523,2578,62,75
SRM77_Dval_f_250523,984,55,20
SRM78_Darm_f_250523,1666,27,18
SRM79_Darm_f_250523,2763,5,12
SRM80_Darm_f_250523,4015,31,21
SRM81_Darm_f_250523,3557,222,1
SRM83_Darm_f_250523,2845,22,2
SRM84_Dval_m_250523,2849,21,15
SRM85_Dval_m_250523,3091,3,11
SRM86_Dval_m_250523,3040,26,22
